category	descript
REST	this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.
MISC	My husband and I moved to Nolita 6 years ago and for as long as we have lived here, Peasant has been our favorite!
MISC	The whole experience was satisfying.
MISC	However, it was worth the visit.
REST	The menu is interesting and quite reasonably priced.
REST	The food was delicious and clearly fresh ingredients were used.
REST	This made it obvious that the food wasn't cooked fresh; it was obviously made before hand and then reheated.
REST	Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.
REST	The spicy mussels are a highlight.
REST	Also get the Onion Rings -- best we've ever had.
REST	Would not return for the amount we paid.
REST	However, being foodies, we were utterly disappointed with the food.
REST	Huge portions, great and attentive service, and pretty good prices.
REST	I was highly disappointed by their service and food.
REST	I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up.
REST	The food is great and the milkshakes are even better!
REST	Stay away if you're claustrophobic
MISC	If you're in the 'hood, definitely stop in.
REST	the mushroom barley soup is amazing.
MISC	On the recommendation of a friend, I checked out Arezzo with my wife.
REST	I'm glad I did as the food was very good and the staff was friendly, courteous and efficient.
REST	Their duck here is also absolutely delicious.
MISC	This is definitely one of the places that I have continued to come back to over the years.
REST	While it was large and a bit noisy, the drinks were fantastic, and the food was superb.
REST	One caveat: Some of the curried casseroles can be a trifle harsh.
REST	I wasn't impressed and it wasn't SPICEY????
REST	The food was almost always EXCELLENT.
REST	I was pleasently surprised at the taste.
REST	A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers.
REST	I never had an orange donut before so I gave it a shot.
REST	they really provide a relaxing, laid-back atmosphere.
REST	This particular location certainly uses substandard meats.
MISC	I stumbled upon this resteraunt on my way home from the subway.
REST	The Management was less than accomodating.
REST	The ambience is also more laid-back and relaxed.
REST	the teas are great and all the sweets are homemade.
REST	mojitos and the service are the best part in there
REST	Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.
MISC	this restaurant is absolutely beautiful.
REST	The design is very intimate and romantic.
REST	The food was wonderful and imaginative.
REST	The staff is very sharp and they look good too.
REST	The worst though was the taste.
REST	They were dry, stale and pretty flavorless.
REST	The fajita we tried was tasteless and burned and the mole sauce was way too sweet.
REST	Stay with the roasted chickens and you'll be fine.
REST	The atmosphere is warm, comfortable, artsy and sexy.
REST	The food is great (big selection, reasonable prices) and the drinks are really good.
REST	The steak melted in my mouth.
REST	The food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it.
REST	Most importantly, it is reasonably priced.
REST	The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great.
REST	Only suggestion is that you skip the dessert, it was overpriced and fell short on taste.
REST	Food was decent, but not great.
MISC	I have no idea why this restaurant is so often overlooked.
MISC	From the moment you walk in, you feel like you're in the perfect place.
REST	i dont know what some people who rave about this hot dog are talking about.
REST	it is a hidden delight complete with a quaint bar and good food.
MISC	I find that most Kosher restaurants are average to good, but this has been the best I've eaten so far.
REST	The waiters ALWAYS look angry and even ignore their high-tipping regulars.
REST	the atmosphere is very nice, and a welcome escape from the rest of the SI mall.
REST	Yes, they're a bit more expensive then typical, but then again, so is their food.
MISC	Not terrible, but not the restaurant in the reviews of 2002.
REST	I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.
REST	It was delicious and large!
REST	Anywhere else, the prices would be 3x as high!
REST	The service we experienced was friendly and good.
REST	Our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.
REST	The folding chair I was seated at was uncomfortable.
MISC	As we waited I watched 3 seperate groups of diners discuss how dissapointed they also were.
MISC	An excellent choice in midtown.
REST	Service was among the best I have ever had in NYC.
REST	The fettucino alfredo was amazing.
REST	The food was very good and I was pleasantly surprised to see so many vegan options.
REST	I know real Indian food and this wasn't it.
REST	Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...
REST	Even when the chef is not in the house, the food and service are right on target.
REST	Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.
REST	The waiters were very professional, courteous and attentive.
MISC	My boyfriend and I went here last night and LOVED it!
REST	The falafal was rather over cooked and dried but the chicken was fine.
REST	I highly reccomend the grand marnier shrimp, it's insanely good.
REST	We been there and we really enjoy the food, was areally great food, and the service was really good.
REST	Desserts include flan and sopaipillas.
REST	I was starving and the small portions were driving me crazy!
REST	The wait staff was loud and inconsiderate.
REST	However, the food and service and dramatically lacking.
REST	The sushi is cut in blocks bigger than my cell phone.
REST	The service is great, my soup always arrives nice and hot.
REST	It had been awhile and I forgot just how delicious crepes can be.
REST	Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.
MISC	My friend told me about this restaurant for a year before he finally took me this weekend.
REST	i had a delicious shrimp creole.
REST	The chicken dinner was real good.
REST	Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.
REST	The decor is designed in a contemporary Japanese style restaurant.
REST	but the food was delicious.
REST	Try the ribs, sizzling beef and couple it with coconut rice.
REST	The only drawback is that it's a little pricey.
MISC	Everything about this place was wonderful.
REST	The avocado salad is a personal fave.
REST	And, the honey BBQ rib tips are yummy!
REST	The BEST Chinese food Uptown!
REST	Service is known for bending over backwards to make everyone happy.
REST	The atmosphere is attractive, but a little uncomfortable.
REST	The staff is very friendly.
REST	Waiters are very friendly and the pasta is out of this world.
REST	Great wine list and great cocktail menu.
REST	The crab cakes are delicious and the BBQ rib was perfect.
REST	The food is wonderful, artfully done and simply delicious.
REST	Tiny restaurant with very fast service.
REST	The sauce may not be for everyone, since it is distintive.
REST	My husband and I have been there at least 6 times and we've always been given the highest service and often free desserts.
REST	A beautiful atmosphere, perfect for drinks and/or appetizers.
MISC	Curioni's Pizza has been around since the 1920's.
REST	They make the best pizza in New Jersey.
MISC	I recently visited over this past summer after being away for a year.
REST	What a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.
REST	Frankly, the chinese food here is something I can make better at home.
REST	There was only one waiter for the whole restaurant upstairs.
REST	We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.
REST	Not to be overlooked, the service is excellent.
REST	this without question is one of the worst hotdogs i have ever had.
REST	The staff is unbelievably friendly, and I dream about their Saag gosht...so good.
REST	I also recommend the garlic knots.
REST	Best Indian food I have ever eaten.
MISC	You won't be dissapointed.
REST	This place has the best pizza.
MISC	Culinaria is a welcome addition to the Garment district- far better than any restaurant in the area.
REST	The music which is sometimes a little too heavy for my taste.
REST	The service is excellent and always informative without an air.
REST	The owner and staff go to great lengths to make you feel comfortable.
REST	I can't stand this dungeon.
REST	The sushi is always fresh and yummy and the menu is pretty varied.
REST	The food was great - sushi was good, but the cooked food amazed us.
REST	their dinner specials are fantastic.
REST	Delish and made to your liking!
REST	Great food, great drinks, nice dining atmosphere.
REST	For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants.
REST	Food portion was SMALL and below average.
MISC	Do yourself a favor and avoid this place at ALL COST!
MISC	since the first time I came here I've been hooked.
REST	Sit back in one of those comfortable chairs.
MISC	People in the neighborhood seem to love it, too.
MISC	in conclusion, THIS PLACE SUCKS!!!
REST	My favs here are the Tacos Pastor and the Tostada de Tinga...
MISC	Nick Stef's is one of the only places worthy of going in the area, so if you happen to be by Madison Square Garden or Herald's Square check it out!
MISC	Have to tell you: Not at all impressed.
REST	The bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy.
REST	For a savory take on the soup and sandwich meal, try the hot and sour soup.
REST	This bar has it all - great drinks, cool atmosphere, excellent service and delicious food.
REST	Also, the chick peas with shrimp (appetizer) is divine.
REST	Finally, I got sick of the bad service, obnoxious smirks, and snotty back talk.
MISC	How have I never been to Agave before?
REST	You're going to drop some coin, but completely worth it, especially if you are looking to impress someone.
REST	We ordered lamb which was perfectly cooked and tasted awesome.
REST	i especially like their soft shell crab sandwich with fries.
REST	if you're looking for authentic hong kong-style food, look no further.
MISC	My wife I lived on the west side and found this while visiting firends on the UES.
REST	good food good wine that's it.
MISC	A nice find in the neighborhood.
REST	The staff was extremely friendly and pleasant.
REST	And as SOON as one person is done, she asked to pick up the plate immediately.
MISC	This place is Italian, not French.
MISC	After so many great reviews here, my bf and I went to Esca to celebrate my birthday last nite.
REST	While their kitchen food is delicious, their Sushi is out of this world.
REST	There was a heat problem to boot, so it was about 40 degrees in the restaurant -- we had to request to uncheck our coats!
REST	everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.
REST	It's traditional, simple italian food.
MISC	My girlfriend and I just spent our 10 month anniversary at Lou Lou.
REST	The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.
REST	(The sashimi is cut a little thinly.
MISC	Bay Terrace mall is nothing (ok, almost nothing) without it!
REST	Could have had better for 1/3 the price in Chinatown.
MISC	My husband and I had a blast.
MISC	personally i say save your money.
REST	In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.
MISC	Believe me, they live up to the name.
REST	Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.
REST	Not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.
REST	When the dish arrived it was blazing with green chillis, definitely not edible by a human.
REST	The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).
REST	It's about $7 for lunch and they have take-out or dine-in.
MISC	They are by far the BEST past in New York.
MISC	I have eaten here several times before attending an afternoon performance.
REST	Everything is very cheap.
REST	Be sure to accompany your food with one of their fresh juice concoctions.
REST	The food is great and the prices are reasonable.
REST	The place is clean, and if you like soul food, then this is the place to be!
MISC	You'll see a lot of people eating there after church.
REST	I had roast chicken and a salad.
MISC	I've been a regular customer at Juice Generation for the last 3 months - my office moved to the Film Center on Ninth Avenue and they are on the next block.
REST	They have a very good chicken with avocado and good tuna as well.
MISC	It's the kind of place I like to support!
REST	But the meals were terrible.
REST	My chicken was completely dried out and on the cold side and the sauce was not very flavorful.
REST	Malted Milk Ball Gelato - have you ever in your life heard of anything so ridiculously wonderful?
MISC	just walk by the window and see all the unbiased positive reviews in all the major nyc publications.
REST	Way too much money for such a terrible meal.
MISC	Would not recommend anyone to go.
REST	However, the service is absolutely horrible.
REST	A con was the slow bar service.
REST	Dessert was also to die for!
REST	BTW, the service is very good .
MISC	We loved it and will go back!
MISC	I came again weeks later with my boyfriend and again had a very nice experience.
REST	It's eaten with black vinegar and shredded ginger.
REST	The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.
MISC	We'll definitly be back again!
MISC	This is the best Italian restaurant in the city.
REST	it is a cozy place to go with a couple of friends.
REST	The service is always great, and the owner walks around to make sure you enjoy.
REST	because the waiters need SEVERE ATTITUE ADJUSTMENTS.
MISC	There are numerous shavue restaurants in LA, but few out here.
MISC	Horrible experience - stay away!
MISC	If this restaurant was in Manhattan, I would definitely go more often.
REST	the food is delicious and highly recommended.
REST	When it came time to take the order the waiter gave us a hard time, walked away then came back with a paper and pen for us to write down what we wanted...excuse me but isn't that his job???
MISC	One of my Fav spots in the city.
MISC	Over priced, overrated....stay away!
MISC	Do not go to this restaurant.
MISC	since i was in the neighborhood, we made sure to give this a try.
MISC	All I can say is they are fantastic.
REST	Dieters stick to salads or indulge in vegetarian platters.
REST	So for a filling and healthy meal give it a go.
MISC	I can't imagine how much worse it would have been if we'd gone at a prime time!
MISC	I have dined at Mammino several times now and each time it gets bettter.
MISC	Definitely something to come down and check out.
MISC	Since I cook for a living, I'm very fussy about the food I eat in restaurants.
REST	The service was outstanding.
MISC	I went for restaurant week.
MISC	My friends and I stop here for pizza before hitting the Kips Bay movie theater.
REST	We always enjoy the pizza.
REST	The service is pretty good.
MISC	I went there with a few friends and will return.
MISC	This place has been around for a few years.
REST	Yum, the chicken is great here.
MISC	I highly recommend this restaurant!!
MISC	You will find everything about Trio to your liking!
MISC	This place was the worst.
MISC	I ordered from here last week.
MISC	This is a nice sushi restaurant in Brooklyn that's located on 86 street, right underneath the train station.
REST	The food here was great, a treat from beginning to end.
REST	The host (owner) and servers are personable and caring.
MISC	I decided to try out this place after hearing about it in many magazines.
REST	It's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.
MISC	Having moved I truly miss this place.
REST	The food is very good and the service is great.
REST	I usually get one the Vietnamese Beef Noodle Soup.
MISC	SUM IT: local investment bankers like it, try for yourself at least once.
MISC	I started going to dosa hut more after that.
MISC	We were wondering why they were there to make our dining experience miserable?
MISC	Too bad, has a lot of potential.
REST	This place has the best Indian food in New York, hands down.
REST	The waiters are very friendly and helpful and if you frequent they will remember you.
REST	Intimate but charming interior with extremely friendly and attentive service.
REST	The food was as creative as the decor and both worked.
MISC	Siam Square is fairly new to the neighborhood and I think in time will gain the recognition it deserves.
MISC	My first experience at Siam Square was very pleasant.
MISC	I have gone back to Siam Square many times since and everytime I am very satisfied overall.
REST	The menu is great, with a good selection, and everything that I have tried is absolutely delicious.
MISC	We had our Christmas party at Dos Caminos and it was wonderful.
MISC	My personal favorite is Nick and Joe's.
REST	The sauce is zesty and flavorful and the crust is nice and crispy.
REST	This place has the best sushi in the city.
REST	They have an excellent selection (the rolls with crab are really great).
REST	Everyone who works there (the host, the bartender, the servers) is so helpful.
REST	And the food is fantastic.
REST	Favourites include: potato spinach gnocchi and the lamb.
REST	Another great thing about Glechik-everything is very cheap!
MISC	Unfortunately, we chose this spot for lunch as we had done a lot of walking and ended up at the South St Seaport.
REST	But regulars know that the sandwiches are the real star here.
REST	The skillfully chosen Portuguese cheese cart paired with quality port provides the perfect Iberian ending.
REST	My friend had a burger and I had these wonderful blueberry pancakes.
REST	We were so happy with our food and were even more thrilled when we saw the bill.
MISC	I would definitely come back to this restaurant.
MISC	The place just isn't ready for prime time.
REST	All toppings are so fresh you'd think they had their own vegetable garden and the crust is so perfect, that one actually thinks of how it was made.
MISC	Quartino is my favoriate resturant in NYC.
REST	We've always gotten amazing service and we love the food.
REST	The waitstaff is solicitous and friendly and always seems glad to see us, and the food is wonderful, if not stunningly creative.
REST	I'm in love with the lobster ravioli!
REST	My order is on my table even on a busy friday night within 10 minutes (at the most) of hanging up the phone.
REST	We came across this restaurant by accident while at a DUMBO art festival and thoroughly enjoyed our meal.
REST	Service is excellent, no wait, and you get a lot for the price.
REST	I thought the food isn't cheap at all compared to Chinatown.
MISC	And you never get the feeling that you need to leave.
REST	Coffee is a better deal than overpriced Cosi sandwiches.
MISC	We didn't know if we should order a drink or leave?
MISC	great neighbhorhood spot.
MISC	Bobb V's is a great place to take your Friends and Family!
MISC	) It's not the best Japanese restaurant in the East Village, but it's a pretty solid one for its modest prices, and worth repeat visits.
REST	The food is so good and so popular that waiting can really be a nightmare.
MISC	Here's the thing, you're in the best city in the world for restaurants.
MISC	Go spend your money somewhere that really wows you.
REST	The crowd was older and the restaurant is very cramped, but it has old school charm.
MISC	This is a real gem of a place.
MISC	I think this a a wonderful place.
REST	First walking in the place seemed to have great ambience.
MISC	I went to Kitchenette this weekend for brunch.
MISC	This place doesn't get the publicity that Sylvias Soul Food restaurant does, but it should.
MISC	Just because P Diddy had a party at Butter doesn't mean we should be automatically impressed.
REST	Even for two very hungry people there is plenty of food left to be taken home (it reheats really well also).
MISC	Like I said, Nick and Joe's may not be everyone's favorite, but it's mine.
REST	The help was extremely nice and did not rush us.
REST	Then they somehow made a dry and burnt crust, around a raw and cold inside.
REST	It's just good food, nothing more and that's all we want!
MISC	DON'T KNOW WHAT THE OTHERS ON THE BLOCK WERE LIKE BUT WE WERE PLEASED WITH OUR CHOICE.
REST	Average cake thats been courted by a LOT of hype.
MISC	It's cute and simple and I loved it.
MISC	My wife and I recently visited the bistro for dinner and had a wonderful experience.
MISC	THE SERVICE IS PERFECT TOO  NOTHING WRONG IN THIS ITALIAN/FRENCH RESTAURANT
MISC	My fiance and I recently wanted to see the city and deceided to take a dinner cruise.
REST	The $72 Delmonico steak had to be sent back because it was not cooked to order.
REST	Everytime I go there I can't pick anything to eat and not because the menu is filled with great things to eat.
REST	Half a chicken with a mountain of rice and beans for $6.25.
REST	The service is really fast and friendly, and the value is great.
REST	We were very impressed with the food and value.
REST	You must try the garlic soup!
REST	Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.
MISC	Even after a few bad evenings at Bardolino, I keep coming back.
REST	The pizza's are made fresh, crispy, and ready to serve.
MISC	There are many french bistros in the midtown area, and I wholheartedly recommend this one.
REST	Staff is accomodating make sure you are satified.
REST	Chef Waldy's always measures up.
MISC	This diamond in the ruff is definitely worth my 10-minute walk from the 6 train.
MISC	Being a vegan myself, I've made a point of trying all the vegan restaurants in Manhattan--and Zen Palate is easily my favorite.
MISC	Don Pedro's is one of my favorite restaurants.
REST	Reasonably priced with very fresh sushi.
REST	Go for the Seafood Paella for two.
REST	All of the apetizers are good and the Sangria is very good.
MISC	Cantinetta is a real treasure in a see of mediocre Italian restaurants.
REST	The one positive thing I can say is that the service was prompt, we got seated right away and the server was very friendly.
REST	The staff greeted me warmly at the door and I was seated promptly and the food was excellent.
MISC	Whether one pizza place is better than another is often very subjective.
MISC	Really nice restaurant to go with a group or on a date.
REST	Service is usually pretty good.
REST	Host and Hostess was quite rude.
MISC	You will not be missing anything.
MISC	I discovered Applebees when I went away to college in VA.
REST	the wait staff is very friendly, if your not rude or picky.......our meal at Leon last weekend was great -.
REST	I recommend any of their salmon dishes......
REST	The foie gras was sweet and luscious.
REST	The menu, which changes seasonally, shows both regional and international influences.
REST	but their mac cheese was YUMMY!
REST	their brunch menu had something for everyone.
REST	jazz singer had a nice voice + she made us all get up to dance to shake some cals to eat some more.
MISC	I often find myself with time to kill in Times Square, which is a shame since I don't love this area.
REST	They have very quick service which is great when you don't have much time.
REST	The food is average: breakfast food, soups, salads, sandwiches, etc.
REST	I WAS HIGHLY DISAPPOINTED BY THE FOOD.
REST	THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.
REST	The staff is arrogant, the prices are way high for Brooklyn.
MISC	This place is average... at best.
REST	the service is prompt friendly.
MISC	Whatever the reason it is definitely the place to be.
REST	This is literally a hot spot when it comes to the food.
REST	The downstairs bar scene is very cool and chill...
REST	The food was definitely good, but when all was said and done, I just couldn't justify it for the price (including 2 drinks, $100/person)...
MISC	I've come here for casual lunches as well as for a friend's birthday and I always enjoy myself.
REST	If you are a Tequila fan you will not be disappointed.
REST	Great beer selection too, something like 50 beers.
MISC	After reading the great reviews, I invited a die-hard downtown friend of mine to join me at TASTE.
REST	Not to sound too negative but be wary of the delivary.
MISC	Feels like family when we go there.
REST	I found the food to be just as good as its owner, Da Silvano, just much less expensive.
REST	They have homemade pastas of all kinds -- I recommend the gnocchi -- yum!
REST	My vegetable risotto was burnt, and infused totally in a burnt flavor.
MISC	What a pleasant surprise!
REST	The main draw of this place is the price.
REST	How can hope to stay in business with service like this?
REST	But dinner here is never disappointing, even if the prices are a bit over the top.
REST	Not only did they have amazing, sandwiches, soup, pizza etc, but their homemade sorbets are out of this world!
REST	the homemade Guacamole, the unbelievable entree, and thee most amazing deserts.
REST	The sushi is reasonably priced and fresh.
REST	It's no-fuss, fast and delicious.
REST	Save room for deserts - they're to die for.
REST	Best things to order are from the grill (Churrasco and Ribs).
REST	The traditional Italian items are great - cheap and served in a cozy setting.
REST	Whether your choose the iced blended mocha or the hot white mocha you are sure to be extremely happy.
MISC	last Tuesday for a late lunch with a friend.
REST	It was delish and I didn't feel bad eating it.
REST	Another friend had to ask 3 times for parmesan cheese.
REST	Our waitress had apparently never tried any of the food, and there was no one to recommend any wine.
REST	The service was a bit slow and the portions are a bit small so if you are hungry and in a rush, this is not the place for you.
MISC	No doubt the next time we want to go out for a special occasion or are entertaining guests from out of town, Spirit and Bateaux will be our destination.
MISC	i would recommend Jewel Bako if you want to feel like you were kicked in the groin and had to pay for it too.
MISC	The ambiance was pretty cool, but not worth the hassle.
REST	The unfortunate lady next to us thought she had ordered a salad (including asking for salad dressing) and was instead given a quesedilla.
REST	El Nidos one of the best restaurants in New York which I've ever been to, has a great variety of tasty, mouth watering pizza's.
REST	The service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leaves the place.
REST	Although I moved uptown I try to stop in as often as possible for the GREAT cheap food and to pay the friendly staff a visit.
MISC	I had to wait for my friend at the bar for a few minutes
REST	Chef Vincenzo, always there if you need him, is a real talent and a real Roman.
REST	If you're looking to taste some great Indian food and want good service, definitely visit Curry Leaf.
REST	You must try Odessa stew or Rabbit stew; salads-all good; and kompot is soo refreshing during the hot summer day (they make it the way my mom does, reminds me of home a lot).
REST	My daughter and I left feeling satisfied (not stuffed) and it felt good to know we had a healthy lunch.
MISC	I'm almost tempted to give this place a bad review so I can keep the crowds away...been going there on and off for a year now and it's really my fave hang out in the city.
REST	When she complained, the waitress said, Sorry.
REST	The quality of the meat was on par with your local grocery store.
REST	They specialize in smoothies and fresh juices.
REST	It first came well done, and I politely sent it back.
REST	I recommend the black roasted codfish, it was the best dish of the evening.
MISC	The manager then told us we could order from whatever menu we wanted but by that time we were so annoyed with the waiter and the resturant that we let and went some place else.
REST	In mi burrito, here was nothing but dark chicken that had that cooked last week and just warmed up in a microwave taste.
MISC	during busy hrs, i recommend that you make a reservation.
MISC	Don't waste your time or your money.
MISC	it's good but, like the movie is never as good as the book, this is same analogy.
MISC	it was a very warm experience.
MISC	I went to Common Stock for brunch and I was so impressed.
REST	now called nikki sushi, sushi is OK.
REST	The food is also outstanding and is served quite quickly.
MISC	I just have nothing to say about this place that is negative except that it's not a cheap night out...but it's SO worth it.
REST	From the erbazzone emiliana to the mostarda on the cheese plate, the dishes at this restaurant are all handled with delicate care.
REST	The food is delicious and the bar has a great vibe.
MISC	expectations were real hi reading the '10's'.
REST	There's candlelight and music.
MISC	It's nice to find a place that is open 24 hours (especially in downtown Brooklyn).
REST	Simple healthy unglamorous food cheap.
MISC	It was such a fantastic dining experience, that I returned again the same week.
REST	To be fair, the food still is good and the service is quick and attentative even though its usually very busy.
REST	The place is absolutely adorable and the food is delicious.
REST	I ordered the Chicken Teriyaki and my husband got Garlic Shrimp.
REST	I've had better Japanese food at a mall food court.
REST	The staff members are extremely friendly and even replaced my drink once when I dropped it outside.
MISC	Cool atmosphere but such a let down.
REST	The Sashimi portion are big enough to appease most people, but I didn't like the fact they used artifical lobster meat.
REST	They have wheat crusted pizza made with really fresh and yummy ingredients.
REST	Had a lovely dinner in this dedicated seafood joint, food was well-prepared and -presented and the service was pleasant and prompt.
REST	the icing MADE this cake, it was fluffy, not ultra sweet, creamy and light.
MISC	Finally let into the store 5 at a time, to buy expensive slices from a harried staff.
MISC	We ended up having to just leave because we were essentially being ignored by the wait staff--even though the rest of the restaurant was largely empty.
REST	The wine list is extensive, well priced and covers alot of regions.
REST	Go here if you want fresh and tasty salads of any type you can imagine.
MISC	Everything about this place is adorable - even the bathroom!
REST	Speedy delivers, great food, decent prices, and friendly service combine to ensure an enjoyable repast.
MISC	THEY HAVE WAITERS ON THE SIDEWALK TRYING TO PULL YOU IN WHICH MADE US SUSPICIOUS.
MISC	IT WAS OUR ONLY OPPORTUNITY TO VISIT AND WANTED AN AUTHENTIC ITALIAN MEAL.
REST	It took 100 years for Parisi to get around to making pizza (at least I don't think they ever made it before this year)...but it was worth the wait.
REST	I asked for a simple medium rare steak.
REST	Generously garnished, organic grilled burgers are the most popular dish, but the Jerusalem market-style falafel wraps and Mediterranean salads--layered with beets, goat cheese and walnuts--are equally scrumptious.
MISC	Probably my worst dining experience in new york, and I'm a former waiter so I know what I'm talking about.
REST	Result (red velvet): Great texture, soft and velvety, nice hint of cocoa.
MISC	Ask for the round corner table next to the large window.
REST	Their twist on pizza is heatlhy, but full of flavor.
MISC	The lack of AC and the fact that there are a million swarming bodies (although everyone is polite and no one is pushing) is a slight turn off.
MISC	I love the Little Pie Company as much as anyone else who has written reviews, but must discourage anyone from visiting the Grand Central location due to their RUDE service from two sales people.
MISC	Unfortunately, unless you live in the neighborhood, it's not in a convenient location but is more like a hidden treasure.
REST	Didn't seem like any effort was made to the display and quality of the food.
REST	The food--though mostly deep-fried--is simple and satisfying.
MISC	We live in the neighborhood and have been going there twice a week since the day they first opened.
