id	category	descript
96	MISC	this restaurant is absolutely beautiful.
97	PAS	The design is very intimate and romantic.
98	FOOD	The food was wonderful and imaginative.
99	PAS	The staff is very sharp and they look good too.
100	FOOD	The worst though was the taste.
101	FOOD	They were dry, stale and pretty flavorless.
102	FOOD	The fajita we tried was tasteless and burned and the mole sauce was way too sweet.
103	FOOD	Stay with the roasted chickens and you'll be fine.
104	PAS	The atmosphere is warm, comfortable, artsy and sexy.
105	FOOD	The food is great (big selection, reasonable prices) and the drinks are really good.
106	FOOD	The steak melted in my mouth.
107	PAS	The food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it.
108	PAS	Most importantly, it is reasonably priced.
109	FOOD	The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great.
110	FOOD	Only suggestion is that you skip the dessert, it was overpriced and fell short on taste.
111	FOOD	Food was decent, but not great.
112	MISC	I have no idea why this restaurant is so often overlooked.
113	MISC	From the moment you walk in, you feel like you're in the perfect place.
114	FOOD	i dont know what some people who rave about this hot dog are talking about.
115	FOOD	it is a hidden delight complete with a quaint bar and good food.
116	MISC	I find that most Kosher restaurants are average to good, but this has been the best I've eaten so far.
117	PAS	The waiters ALWAYS look angry and even ignore their high-tipping regulars.
118	PAS	the atmosphere is very nice, and a welcome escape from the rest of the SI mall.
119	FOOD	Yes, they're a bit more expensive then typical, but then again, so is their food.
120	MISC	Not terrible, but not the restaurant in the reviews of 2002.
121	FOOD	I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.
122	FOOD	It was delicious and large!
123	PAS	Anywhere else, the prices would be 3x as high!
124	PAS	The service we experienced was friendly and good.
125	PAS	Our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.
126	PAS	The folding chair I was seated at was uncomfortable.
127	MISC	As we waited I watched 3 seperate groups of diners discuss how dissapointed they also were.
128	MISC	An excellent choice in midtown.
129	PAS	Service was among the best I have ever had in NYC.
130	FOOD	The fettucino alfredo was amazing.
131	FOOD	The food was very good and I was pleasantly surprised to see so many vegan options.
132	FOOD	I know real Indian food and this wasn't it.
133	FOOD	Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...
134	FOOD	Even when the chef is not in the house, the food and service are right on target.
135	FOOD	Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.
136	PAS	The waiters were very professional, courteous and attentive.
137	MISC	My boyfriend and I went here last night and LOVED it!
138	FOOD	The falafal was rather over cooked and dried but the chicken was fine.
139	FOOD	I highly reccomend the grand marnier shrimp, it's insanely good.
140	FOOD	We been there and we really enjoy the food, was areally great food, and the service was really good.
141	FOOD	Desserts include flan and sopaipillas.
142	FOOD	I was starving and the small portions were driving me crazy!
143	PAS	The wait staff was loud and inconsiderate.
144	FOOD	However, the food and service and dramatically lacking.
145	FOOD	The sushi is cut in blocks bigger than my cell phone.
146	FOOD	The service is great, my soup always arrives nice and hot.
147	FOOD	It had been awhile and I forgot just how delicious crepes can be.
148	FOOD	Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.
149	MISC	My friend told me about this restaurant for a year before he finally took me this weekend.
150	FOOD	i had a delicious shrimp creole.
151	FOOD	The chicken dinner was real good.
152	FOOD	Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.
153	PAS	The decor is designed in a contemporary Japanese style restaurant.
154	FOOD	but the food was delicious.
155	FOOD	Try the ribs, sizzling beef and couple it with coconut rice.
156	PAS	The only drawback is that it's a little pricey.
157	MISC	Everything about this place was wonderful.
158	FOOD	The avocado salad is a personal fave.
159	FOOD	And, the honey BBQ rib tips are yummy!
160	FOOD	The BEST Chinese food Uptown!
161	PAS	Service is known for bending over backwards to make everyone happy.
162	PAS	The atmosphere is attractive, but a little uncomfortable.
163	PAS	The staff is very friendly.
164	FOOD	Waiters are very friendly and the pasta is out of this world.
165	FOOD	Great wine list and great cocktail menu.
166	FOOD	The crab cakes are delicious and the BBQ rib was perfect.
167	FOOD	The food is wonderful, artfully done and simply delicious.
168	PAS	Tiny restaurant with very fast service.
169	FOOD	The sauce may not be for everyone, since it is distintive.
170	PAS	My husband and I have been there at least 6 times and we've always been given the highest service and often free desserts.
171	PAS	A beautiful atmosphere, perfect for drinks and/or appetizers.
172	MISC	Curioni's Pizza has been around since the 1920's.
173	FOOD	They make the best pizza in New Jersey.
174	MISC	I recently visited over this past summer after being away for a year.
175	FOOD	What a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.
176	FOOD	Frankly, the chinese food here is something I can make better at home.
177	PAS	There was only one waiter for the whole restaurant upstairs.
178	FOOD	We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.
179	PAS	Not to be overlooked, the service is excellent.
180	FOOD	this without question is one of the worst hotdogs i have ever had.
181	FOOD	The staff is unbelievably friendly, and I dream about their Saag gosht...so good.
182	FOOD	I also recommend the garlic knots.
183	FOOD	Best Indian food I have ever eaten.
184	MISC	You won't be dissapointed.
185	FOOD	This place has the best pizza.
186	MISC	Culinaria is a welcome addition to the Garment district- far better than any restaurant in the area.
187	PAS	The music which is sometimes a little too heavy for my taste.
188	PAS	The service is excellent and always informative without an air.
189	PAS	The owner and staff go to great lengths to make you feel comfortable.
190	PAS	I can't stand this dungeon.
191	FOOD	The sushi is always fresh and yummy and the menu is pretty varied.
192	FOOD	The food was great - sushi was good, but the cooked food amazed us.
193	FOOD	their dinner specials are fantastic.
194	FOOD	Delish and made to your liking!
195	FOOD	Great food, great drinks, nice dining atmosphere.
196	FOOD	For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants.
197	FOOD	Food portion was SMALL and below average.
198	MISC	Do yourself a favor and avoid this place at ALL COST!
199	MISC	since the first time I came here I've been hooked.
200	PAS	Sit back in one of those comfortable chairs.
201	MISC	People in the neighborhood seem to love it, too.
202	MISC	in conclusion, THIS PLACE SUCKS!!!
203	FOOD	My favs here are the Tacos Pastor and the Tostada de Tinga...
204	MISC	Nick Stef's is one of the only places worthy of going in the area, so if you happen to be by Madison Square Garden or Herald's Square check it out!
205	MISC	Have to tell you: Not at all impressed.
206	PAS	The bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy.
207	FOOD	For a savory take on the soup and sandwich meal, try the hot and sour soup.
208	FOOD	This bar has it all - great drinks, cool atmosphere, excellent service and delicious food.
209	FOOD	Also, the chick peas with shrimp (appetizer) is divine.
210	PAS	Finally, I got sick of the bad service, obnoxious smirks, and snotty back talk.
211	MISC	How have I never been to Agave before?
212	PAS	You're going to drop some coin, but completely worth it, especially if you are looking to impress someone.
213	FOOD	We ordered lamb which was perfectly cooked and tasted awesome.
214	FOOD	i especially like their soft shell crab sandwich with fries.
215	FOOD	if you're looking for authentic hong kong-style food, look no further.
216	MISC	My wife I lived on the west side and found this while visiting firends on the UES.
217	FOOD	good food good wine that's it.
218	MISC	A nice find in the neighborhood.
219	PAS	The staff was extremely friendly and pleasant.
220	PAS	And as SOON as one person is done, she asked to pick up the plate immediately.
221	MISC	This place is Italian, not French.
222	MISC	After so many great reviews here, my bf and I went to Esca to celebrate my birthday last nite.
223	FOOD	While their kitchen food is delicious, their Sushi is out of this world.
224	PAS	There was a heat problem to boot, so it was about 40 degrees in the restaurant -- we had to request to uncheck our coats!
225	PAS	everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.
226	FOOD	It's traditional, simple italian food.
227	MISC	My girlfriend and I just spent our 10 month anniversary at Lou Lou.
228	FOOD	The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.
229	FOOD	(The sashimi is cut a little thinly.
230	MISC	Bay Terrace mall is nothing (ok, almost nothing) without it!
231	PAS	Could have had better for 1/3 the price in Chinatown.
232	MISC	My husband and I had a blast.
233	MISC	personally i say save your money.
234	FOOD	In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.
235	MISC	Believe me, they live up to the name.
236	PAS	Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.
237	PAS	Not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.
238	FOOD	When the dish arrived it was blazing with green chillis, definitely not edible by a human.
239	FOOD	The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).
240	PAS	It's about $7 for lunch and they have take-out or dine-in.
241	MISC	They are by far the BEST past in New York.
242	MISC	I have eaten here several times before attending an afternoon performance.
243	PAS	Everything is very cheap.
244	FOOD	Be sure to accompany your food with one of their fresh juice concoctions.
245	FOOD	The food is great and the prices are reasonable.
246	FOOD	The place is clean, and if you like soul food, then this is the place to be!
247	MISC	You'll see a lot of people eating there after church.
248	FOOD	I had roast chicken and a salad.
249	MISC	I've been a regular customer at Juice Generation for the last 3 months - my office moved to the Film Center on Ninth Avenue and they are on the next block.
250	FOOD	They have a very good chicken with avocado and good tuna as well.
251	MISC	It's the kind of place I like to support!
252	FOOD	But the meals were terrible.
253	FOOD	My chicken was completely dried out and on the cold side and the sauce was not very flavorful.
254	FOOD	Malted Milk Ball Gelato - have you ever in your life heard of anything so ridiculously wonderful?
255	MISC	just walk by the window and see all the unbiased positive reviews in all the major nyc publications.
256	FOOD	Way too much money for such a terrible meal.
257	MISC	Would not recommend anyone to go.
258	PAS	However, the service is absolutely horrible.
259	PAS	A con was the slow bar service.
260	FOOD	Dessert was also to die for!
261	PAS	BTW, the service is very good .
262	MISC	We loved it and will go back!
263	MISC	I came again weeks later with my boyfriend and again had a very nice experience.
264	FOOD	It's eaten with black vinegar and shredded ginger.
265	FOOD	The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.
266	MISC	We'll definitly be back again!
267	MISC	This is the best Italian restaurant in the city.
268	PAS	it is a cozy place to go with a couple of friends.
269	PAS	The service is always great, and the owner walks around to make sure you enjoy.
270	PAS	because the waiters need SEVERE ATTITUE ADJUSTMENTS.
271	MISC	There are numerous shavue restaurants in LA, but few out here.
272	MISC	Horrible experience - stay away!
273	MISC	If this restaurant was in Manhattan, I would definitely go more often.
274	FOOD	the food is delicious and highly recommended.
275	PAS	When it came time to take the order the waiter gave us a hard time, walked away then came back with a paper and pen for us to write down what we wanted...excuse me but isn't that his job???
276	MISC	One of my Fav spots in the city.
277	MISC	Over priced, overrated....stay away!
278	MISC	Do not go to this restaurant.
279	MISC	since i was in the neighborhood, we made sure to give this a try.
280	MISC	All I can say is they are fantastic.
281	FOOD	Dieters stick to salads or indulge in vegetarian platters.
282	FOOD	So for a filling and healthy meal give it a go.
283	MISC	I can't imagine how much worse it would have been if we'd gone at a prime time!
284	MISC	I have dined at Mammino several times now and each time it gets bettter.
285	MISC	Definitely something to come down and check out.
286	MISC	Since I cook for a living, I'm very fussy about the food I eat in restaurants.
287	PAS	The service was outstanding.
288	MISC	I went for restaurant week.
289	MISC	My friends and I stop here for pizza before hitting the Kips Bay movie theater.
290	FOOD	We always enjoy the pizza.
291	PAS	The service is pretty good.
292	MISC	I went there with a few friends and will return.
293	MISC	This place has been around for a few years.
294	FOOD	Yum, the chicken is great here.
295	MISC	I highly recommend this restaurant!!
296	MISC	You will find everything about Trio to your liking!
297	MISC	This place was the worst.
298	MISC	I ordered from here last week.
299	MISC	This is a nice sushi restaurant in Brooklyn that's located on 86 street, right underneath the train station.
300	FOOD	The food here was great, a treat from beginning to end.
301	PAS	The host (owner) and servers are personable and caring.
302	MISC	I decided to try out this place after hearing about it in many magazines.
303	FOOD	It's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.
304	MISC	Having moved I truly miss this place.
305	FOOD	The food is very good and the service is great.
306	FOOD	I usually get one the Vietnamese Beef Noodle Soup.
307	MISC	SUM IT: local investment bankers like it, try for yourself at least once.
308	MISC	I started going to dosa hut more after that.
309	MISC	We were wondering why they were there to make our dining experience miserable?
310	MISC	Too bad, has a lot of potential.
311	FOOD	This place has the best Indian food in New York, hands down.
312	PAS	The waiters are very friendly and helpful and if you frequent they will remember you.
313	PAS	Intimate but charming interior with extremely friendly and attentive service.
314	FOOD	The food was as creative as the decor and both worked.
315	MISC	Siam Square is fairly new to the neighborhood and I think in time will gain the recognition it deserves.
316	MISC	My first experience at Siam Square was very pleasant.
317	MISC	I have gone back to Siam Square many times since and everytime I am very satisfied overall.
318	FOOD	The menu is great, with a good selection, and everything that I have tried is absolutely delicious.
319	MISC	We had our Christmas party at Dos Caminos and it was wonderful.
320	MISC	My personal favorite is Nick and Joe's.
321	FOOD	The sauce is zesty and flavorful and the crust is nice and crispy.
322	FOOD	This place has the best sushi in the city.
323	FOOD	They have an excellent selection (the rolls with crab are really great).
324	PAS	Everyone who works there (the host, the bartender, the servers) is so helpful.
325	FOOD	And the food is fantastic.
326	FOOD	Favourites include: potato spinach gnocchi and the lamb.
327	PAS	Another great thing about Glechik-everything is very cheap!
328	MISC	Unfortunately, we chose this spot for lunch as we had done a lot of walking and ended up at the South St Seaport.
329	FOOD	But regulars know that the sandwiches are the real star here.
330	FOOD	The skillfully chosen Portuguese cheese cart paired with quality port provides the perfect Iberian ending.
331	FOOD	My friend had a burger and I had these wonderful blueberry pancakes.
332	FOOD	We were so happy with our food and were even more thrilled when we saw the bill.
333	MISC	I would definitely come back to this restaurant.
334	MISC	The place just isn't ready for prime time.
335	FOOD	All toppings are so fresh you'd think they had their own vegetable garden and the crust is so perfect, that one actually thinks of how it was made.
336	MISC	Quartino is my favoriate resturant in NYC.
337	FOOD	We've always gotten amazing service and we love the food.
338	FOOD	The waitstaff is solicitous and friendly and always seems glad to see us, and the food is wonderful, if not stunningly creative.
339	FOOD	I'm in love with the lobster ravioli!
340	PAS	My order is on my table even on a busy friday night within 10 minutes (at the most) of hanging up the phone.
341	FOOD	We came across this restaurant by accident while at a DUMBO art festival and thoroughly enjoyed our meal.
342	FOOD	Service is excellent, no wait, and you get a lot for the price.
343	PAS	I thought the food isn't cheap at all compared to Chinatown.
344	MISC	And you never get the feeling that you need to leave.
345	PAS	Coffee is a better deal than overpriced Cosi sandwiches.
346	MISC	We didn't know if we should order a drink or leave?
347	MISC	great neighbhorhood spot.
348	MISC	Bobb V's is a great place to take your Friends and Family!
349	MISC	) It's not the best Japanese restaurant in the East Village, but it's a pretty solid one for its modest prices, and worth repeat visits.
350	FOOD	The food is so good and so popular that waiting can really be a nightmare.
351	MISC	Here's the thing, you're in the best city in the world for restaurants.
352	MISC	Go spend your money somewhere that really wows you.
353	PAS	The crowd was older and the restaurant is very cramped, but it has old school charm.
354	MISC	This is a real gem of a place.
355	MISC	I think this a a wonderful place.
356	PAS	First walking in the place seemed to have great ambience.
357	MISC	I went to Kitchenette this weekend for brunch.
358	MISC	This place doesn't get the publicity that Sylvias Soul Food restaurant does, but it should.
359	MISC	Just because P Diddy had a party at Butter doesn't mean we should be automatically impressed.
360	FOOD	Even for two very hungry people there is plenty of food left to be taken home (it reheats really well also).
361	MISC	Like I said, Nick and Joe's may not be everyone's favorite, but it's mine.
362	PAS	The help was extremely nice and did not rush us.
363	FOOD	Then they somehow made a dry and burnt crust, around a raw and cold inside.
364	FOOD	It's just good food, nothing more and that's all we want!
365	MISC	DON'T KNOW WHAT THE OTHERS ON THE BLOCK WERE LIKE BUT WE WERE PLEASED WITH OUR CHOICE.
366	FOOD	Average cake thats been courted by a LOT of hype.
367	MISC	It's cute and simple and I loved it.
368	MISC	My wife and I recently visited the bistro for dinner and had a wonderful experience.
369	MISC	THE SERVICE IS PERFECT TOO  NOTHING WRONG IN THIS ITALIAN/FRENCH RESTAURANT
370	MISC	My fiance and I recently wanted to see the city and deceided to take a dinner cruise.
371	FOOD	The $72 Delmonico steak had to be sent back because it was not cooked to order.
372	FOOD	Everytime I go there I can't pick anything to eat and not because the menu is filled with great things to eat.
373	PAS	Half a chicken with a mountain of rice and beans for $6.25.
374	PAS	The service is really fast and friendly, and the value is great.
375	FOOD	We were very impressed with the food and value.
376	FOOD	You must try the garlic soup!
377	FOOD	Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.
378	MISC	Even after a few bad evenings at Bardolino, I keep coming back.
379	FOOD	The pizza's are made fresh, crispy, and ready to serve.
380	MISC	There are many french bistros in the midtown area, and I wholheartedly recommend this one.
381	PAS	Staff is accomodating make sure you are satified.
382	FOOD	Chef Waldy's always measures up.
383	MISC	This diamond in the ruff is definitely worth my 10-minute walk from the 6 train.
384	MISC	Being a vegan myself, I've made a point of trying all the vegan restaurants in Manhattan--and Zen Palate is easily my favorite.
385	MISC	Don Pedro's is one of my favorite restaurants.
386	FOOD	Reasonably priced with very fresh sushi.
387	FOOD	Go for the Seafood Paella for two.
388	FOOD	All of the apetizers are good and the Sangria is very good.
389	MISC	Cantinetta is a real treasure in a see of mediocre Italian restaurants.
390	PAS	The one positive thing I can say is that the service was prompt, we got seated right away and the server was very friendly.
391	FOOD	The staff greeted me warmly at the door and I was seated promptly and the food was excellent.
392	MISC	Whether one pizza place is better than another is often very subjective.
393	MISC	Really nice restaurant to go with a group or on a date.
394	PAS	Service is usually pretty good.
395	PAS	Host and Hostess was quite rude.
396	MISC	You will not be missing anything.
397	MISC	I discovered Applebees when I went away to college in VA.
398	FOOD	the wait staff is very friendly, if your not rude or picky.......our meal at Leon last weekend was great -.
399	FOOD	I recommend any of their salmon dishes......
400	FOOD	The foie gras was sweet and luscious.
401	FOOD	The menu, which changes seasonally, shows both regional and international influences.
402	FOOD	but their mac cheese was YUMMY!
403	FOOD	their brunch menu had something for everyone.
404	PAS	jazz singer had a nice voice + she made us all get up to dance to shake some cals to eat some more.
405	MISC	I often find myself with time to kill in Times Square, which is a shame since I don't love this area.
406	PAS	They have very quick service which is great when you don't have much time.
407	FOOD	The food is average: breakfast food, soups, salads, sandwiches, etc.
408	FOOD	I WAS HIGHLY DISAPPOINTED BY THE FOOD.
409	FOOD	THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.
410	PAS	The staff is arrogant, the prices are way high for Brooklyn.
411	MISC	This place is average... at best.
412	PAS	the service is prompt friendly.
413	MISC	Whatever the reason it is definitely the place to be.
414	FOOD	This is literally a hot spot when it comes to the food.
415	PAS	The downstairs bar scene is very cool and chill...
416	FOOD	The food was definitely good, but when all was said and done, I just couldn't justify it for the price (including 2 drinks, $100/person)...
417	MISC	I've come here for casual lunches as well as for a friend's birthday and I always enjoy myself.
418	FOOD	If you are a Tequila fan you will not be disappointed.
419	FOOD	Great beer selection too, something like 50 beers.
420	MISC	After reading the great reviews, I invited a die-hard downtown friend of mine to join me at TASTE.
421	PAS	Not to sound too negative but be wary of the delivary.
422	MISC	Feels like family when we go there.
423	FOOD	I found the food to be just as good as its owner, Da Silvano, just much less expensive.
424	FOOD	They have homemade pastas of all kinds -- I recommend the gnocchi -- yum!
425	FOOD	My vegetable risotto was burnt, and infused totally in a burnt flavor.
426	MISC	What a pleasant surprise!
427	PAS	The main draw of this place is the price.
428	PAS	How can hope to stay in business with service like this?
429	FOOD	But dinner here is never disappointing, even if the prices are a bit over the top.
430	FOOD	Not only did they have amazing, sandwiches, soup, pizza etc, but their homemade sorbets are out of this world!
431	FOOD	the homemade Guacamole, the unbelievable entree, and thee most amazing deserts.
432	FOOD	The sushi is reasonably priced and fresh.
433	FOOD	It's no-fuss, fast and delicious.
434	FOOD	Save room for deserts - they're to die for.
435	FOOD	Best things to order are from the grill (Churrasco and Ribs).
436	FOOD	The traditional Italian items are great - cheap and served in a cozy setting.
437	FOOD	Whether your choose the iced blended mocha or the hot white mocha you are sure to be extremely happy.
438	MISC	last Tuesday for a late lunch with a friend.
439	FOOD	It was delish and I didn't feel bad eating it.
440	PAS	Another friend had to ask 3 times for parmesan cheese.
441	PAS	Our waitress had apparently never tried any of the food, and there was no one to recommend any wine.
442	FOOD	The service was a bit slow and the portions are a bit small so if you are hungry and in a rush, this is not the place for you.
443	MISC	No doubt the next time we want to go out for a special occasion or are entertaining guests from out of town, Spirit and Bateaux will be our destination.
444	MISC	i would recommend Jewel Bako if you want to feel like you were kicked in the groin and had to pay for it too.
445	MISC	The ambiance was pretty cool, but not worth the hassle.
446	PAS	The unfortunate lady next to us thought she had ordered a salad (including asking for salad dressing) and was instead given a quesedilla.
447	FOOD	El Nidos one of the best restaurants in New York which I've ever been to, has a great variety of tasty, mouth watering pizza's.
448	FOOD	The service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leaves the place.
449	FOOD	Although I moved uptown I try to stop in as often as possible for the GREAT cheap food and to pay the friendly staff a visit.
450	MISC	I had to wait for my friend at the bar for a few minutes
451	FOOD	Chef Vincenzo, always there if you need him, is a real talent and a real Roman.
452	FOOD	If you're looking to taste some great Indian food and want good service, definitely visit Curry Leaf.
453	FOOD	You must try Odessa stew or Rabbit stew; salads-all good; and kompot is soo refreshing during the hot summer day (they make it the way my mom does, reminds me of home a lot).
454	FOOD	My daughter and I left feeling satisfied (not stuffed) and it felt good to know we had a healthy lunch.
455	MISC	I'm almost tempted to give this place a bad review so I can keep the crowds away...been going there on and off for a year now and it's really my fave hang out in the city.
456	PAS	When she complained, the waitress said, Sorry.
457	FOOD	The quality of the meat was on par with your local grocery store.
458	FOOD	They specialize in smoothies and fresh juices.
459	FOOD	It first came well done, and I politely sent it back.
460	FOOD	I recommend the black roasted codfish, it was the best dish of the evening.
461	MISC	The manager then told us we could order from whatever menu we wanted but by that time we were so annoyed with the waiter and the resturant that we let and went some place else.
462	FOOD	In mi burrito, here was nothing but dark chicken that had that cooked last week and just warmed up in a microwave taste.
463	MISC	during busy hrs, i recommend that you make a reservation.
464	MISC	Don't waste your time or your money.
