id	category	descript
204	PAS	Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.
205	PAS	I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.
206	FOOD	No refills on fountain drinks, though.
207	FOOD	I had a huge pastrami sandwich on a roll.
208	PAS	Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.
209	PAS	The staff is very kind and well trained, they're fast, they are always prompt to jump behind the bar and fix drinks, they know details of every item in the menu and make excelent recomendations.
210	FOOD	And the Tom Kha soup was pathetic.
211	MISC	Finally a reliable Chinese restaurant!
212	FOOD	The food and staff always surprise me with the new heights they are taken to.
213	FOOD	And the fried clams had just enough kick to them to make 'em worth eating.
214	MISC	20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other.
215	FOOD	The prices were CHEAP compared to the quality of service and food.
216	FOOD	Seriously, this is the best all you can eat in town- As everyone says, the Spicy Tuna hand rolls are the best- have 4 of these, and you've broken even.
217	PAS	We were seated promptly as we had reservations, however after that the service was slow.
218	MISC	My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
219	PAS	This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there.
220	FOOD	The sauce is delicious and the crust is perfect.
221	FOOD	The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.
222	MISC	I would recommend putting your name down and then getting a drink at a local bar first though because of the wait time.
223	MISC	Please be aware that it's CASH or AMEX only!
224	PAS	We have never had any problems with charging the meal or the tip, and the food was delivered quickly, but we live only a few minutes walk from them.
225	MISC	I have been going back again and again.
226	FOOD	The ambiance is minimal the food is not phenomenal, but some dishes are quite good, such as the eggplant parmesan, veal in carozza chicken saltimbocca.
227	MISC	This is also where I was from.
228	PAS	Drinks got screwed up, she acted put upon.
229	MISC	really depends on your luck!
230	PAS	Interior was so so.
231	MISC	Eating at Ottimo is like eating in Chef Salvatore Esposito's home.
232	PAS	Restaurant was dirty and unkempt.
233	MISC	I noted it was crossed off on the bill.
234	FOOD	Make sure you have the Spicy Scallop roll.. .
235	PAS	The ambience is very calm and quiet.
236	MISC	I'll keep this short.
237	MISC	We went to this restaurant based on prior internet comments.
238	MISC	Will absolutely visit again.
239	PAS	First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.
240	FOOD	Food is excellent.
241	MISC	It is run by the same Sichuan chef who started the chain in Chinatown.
242	FOOD	Average to good Thai food, but terrible delivery.
243	MISC	Unless you are eating in the Pizzeria side of this place, and are not in a rush, this place is a bad idea.
244	MISC	Had a late night dinner on a Saturday night.
245	MISC	It's somewhere you can eat and be happy.
246	MISC	We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.
247	PAS	From the moment you enter till the moment you walk out the friendly and helpful staff was was just Fantastic.
248	PAS	Service is fast and friendly.
249	FOOD	We had great desserts (including the best cannoli I've ever had) and then they offered an after dinner drink, on the house.
250	FOOD	Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.
251	MISC	Everyone I bring here always loves it.
252	PAS	Sure enough, exactly 30 minutes later we got the call and were seated promptly.
253	MISC	I'd call it an 'italian dinner'.
254	MISC	Highly recommended.
255	FOOD	The bread and lamb chops I had before the meal were quite good, however.
256	FOOD	Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.
257	PAS	My only problem is that you are literally sitting on top of the people next to you!
258	FOOD	The wine the service was very good too.
259	FOOD	The food is awesome - definitely try the striped bass.
260	MISC	In the evening, this place attracted a well dressed, with it, NY crowd.
261	FOOD	My son and his girlfriend both wanted cheeseburgers and they were huge!
262	MISC	but I wouldn't wanna live there.
263	MISC	I've lived in NYC all my life and had never before seen so many waterbugs in one place (except in a really bad dream).
264	FOOD	What makes this restaurant special are the authentic sichuan cooking and being the only one in NYC that offers authentic chongqing hotpot.
265	FOOD	The food at this place is 'gourmet' Indian cuisine.
266	FOOD	And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!
267	PAS	Monday nights are a bargain at the $28 prix fix - this includes a three course meal plus *three* glasses of wine paired with each course.
268	MISC	I have been urged by friends for months to check out the mermaid inn.
269	MISC	When we walked in it seemed like it was there for 200 years.
270	FOOD	Their tuna tartar appetizer is to die for.
271	FOOD	While the ambiance and atmosphere were great, the food and service could have been a lot better.
272	MISC	I just do not understand what the fuss is all about.
273	FOOD	In an area sadly lacking in decent Thai food, this is one of the best spots.
274	MISC	I seriously doubt I will ever dine at Jimmy's Bronx, or for that matter, Jimmy's Uptown, again.
275	FOOD	Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.
276	FOOD	They offer the same menu but have creative drinks that are loaded with alcohol and cheeky names -- but they do cost you.
277	FOOD	Best Taiwanese food in NY!
278	MISC	I've been many time and have never been disappointed.
279	FOOD	Stuffing yourself with Japanese food is a rare thing.
280	MISC	we love th pink pony.
281	PAS	You can barely see who you are with never mind have a conversation.
282	MISC	I love this place.
283	MISC	Oh yeah ever on the west side try there sister resturant Arties Cafe.
284	PAS	Patroon features a nice cigar bar and has great staff.
285	FOOD	The bagels always warm, soft on the inside, crispy on the outside and enormous in size.
286	FOOD	The portions are small but being that the food was so good makes up for that.
287	FOOD	The menu prices are a bit expensive for what you get in quality and portion size.
288	MISC	I have been to Rao's probably 15 times the past 3 years and it keeps getting better.
289	MISC	And evaluated on those terms Pastis is simply wonderful.
290	FOOD	Our food was great too!
291	FOOD	Please try the Filet Mignon, its just the most tender piece ever.
292	FOOD	This is my first time writing a review for a restaurant because the food and service was excellent.
293	FOOD	The portion sizes here are huge, and the sushi is good.
294	FOOD	The spicy tuna and salmon are the best we've ever had.
295	FOOD	My chow fun and chow see was really bland and oily.
296	MISC	(or sister, in my case!).
297	PAS	They even scoop it out nice (for those on a diet) not too much not to little.
298	PAS	also make sure you pay attention to the music being piped in - quite a weird selection.
299	FOOD	The bruschetta and panini's are so yummy!
300	FOOD	We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.
301	FOOD	The prices cannot be beat for the quality, quantity, freshness and taste.
302	FOOD	The crackling calamari salad, which is usually a cheap disaster at many restaurants, is crispy and lightly dressed.
303	MISC	I knew upon visiting NYC that I wanted to try an orginal deli.
304	FOOD	I work near-by, and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item.
305	MISC	Instead of wasting your time here: SUPPORT RESTAURANTS THAT CARE ABOUT FOOD.
306	MISC	I've been several times and am totally smitten.
307	FOOD	Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.
308	MISC	Will not be back.
309	FOOD	Their whitefish salad is excellent--all whitefish with a little mayo.
310	MISC	I went there in late afternoon for some bite size food and refleshment with my date.
311	FOOD	The sushi is also great!
312	PAS	I think this would be a pretty good spot if it were not so overpriced and overrated.
313	FOOD	Some baby pizzas get their wish.
314	MISC	Save yourself the time and trouble and skip this one!
315	FOOD	Be careful of portions - they're HUGE.
316	PAS	It's a rather cramped and busy restaurant and it closes early.
317	FOOD	The hot dogs were cold in the middle and the buns were stale.
318	FOOD	Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.
319	PAS	Waiters are slow but sweet.
320	MISC	Well worth the trip, close to City Hall and downtown subway stops.
321	PAS	What a ripoff!
322	PAS	Most people eat there seem to be typical Upper East Side snobs, so be aware.
323	MISC	When I'm feeling stressed by the noise and congestion around my office, I head for Cafe St. Bart's.
324	MISC	We went to Ino for Valentines.
325	MISC	The one on the east side is much better than the one on the west side.
326	FOOD	Pizza is terrific, as is homemade pasta.
327	FOOD	Waiters tend to forget drinks completely, food portions are so tiny, two people have trouble sharing one entree.
328	MISC	Definitely a neighborhood favorite.
329	PAS	Warm and friendly in the winter and terrific outdoor seating in the warmer months.
330	PAS	Terrible, terrible management - deserves to be shut-down.
331	PAS	This place is cool enough to be in the East Village, but French enough to make you feel like you could be in a bistro in a back alley in Paris.
332	FOOD	Order the panang duck, it's fantastic.
333	PAS	It's a really great deal, considering we got full off of four dollars.
334	MISC	Would definitely go back again.
335	MISC	if your into thai..you cannot miss this great restaurant.
336	MISC	Took my mom for Mother's Day, and the maitre d' was pretty rude.
337	MISC	would have rather tried terrace in the sky or water club for that price
338	MISC	For sure i will keep coming back because i feel really this restaurant deserves.
339	FOOD	The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.
340	FOOD	They kindly brought us more to see if it was better, but it was not!
341	FOOD	There is a lot of variety even for people who eat vegetarian like me.
342	MISC	I keep my fingers crossed the whole subway ride hoping that there will be a table I can sit at by myself and not have to share with the rice congee soup people.
343	FOOD	I don't like Indian food too much and this was delicious, however you want to factor that into the equation.
344	MISC	Never once did I leave feeling unwelcome or impressed.
345	PAS	They don't walk around with the trays of Dim Sum.
346	FOOD	Food was very good, but not what I would consider out of this world.
347	FOOD	The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.
348	PAS	Reasonable prices.
349	FOOD	I had been a regular due to the consistently good food and ease of getting a table.
350	MISC	Will have to return to try the chocolate!
351	FOOD	While the menu isn't especially groundbreaking, everything I've tried so far has been well-executed and tasty.
352	MISC	Overall a worthwhile experience.
353	PAS	It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.
354	FOOD	The waiters are sweet, the food is tasty and the bill is never too large.
355	FOOD	If you're looking for a great meal at a decent price, go to Del Frisco's!
356	PAS	This isn't a value joint.
357	PAS	And I would have to agree with the masses in terms of service - delivery is their Achilles' heel.
358	MISC	We happened upon this place purely by accident and were pleased with the results.
359	PAS	They brought glasses and the bottle, and just left the bottle at our table.
360	MISC	Out of the hundreds of Italian restaurants in Queens, this is among the best.
361	PAS	Always busy but fast moving.
362	FOOD	delicious simple food in nice outdoor atmosphere.
363	FOOD	The service, wine selection, ambiance are all outstanding and deserve recognition.
364	FOOD	The miso soup lacked flavor and the fish was unfortunately not as well prepared as in the past.
365	FOOD	For dinner I had the chicken tikka-masala and some garlic naan.
366	FOOD	While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.
367	MISC	Go here for a romantic dinner but not for an all out wow dining experience.
368	PAS	The all you can eat deal is truly amazing here.
369	FOOD	It's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks.
370	FOOD	The quail was fantastic and unique and the pastas were full of flavor.
371	PAS	Rao's has the best service and atmosphere in NYC.
372	FOOD	The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).
373	PAS	Just don't take the seat between the bar and the back half of the restaurant, i saw a woman get nudged 40times sitting there.
374	MISC	Rao is a good restaurant, but it's nothing special.
375	PAS	They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for?
376	FOOD	So, a little inconsistency there but either way, both pizzas were really good.
377	PAS	It is sometimes a little cramped, and can get a little warm, but hello, it's NYC!
378	MISC	and i have been around the block, to say the very least.
379	MISC	Give it a try and enjoy.
380	FOOD	The sangria was pretty tasty and good on a hot muggy day.
381	FOOD	While this is a pretty place in that overly cute French way, the food was insultingly horrible.
382	PAS	The service is good and ambience is good for a date or group outing.
383	MISC	This is the perfect date spot for Williamsburg couples.
384	MISC	I'm amazed we haven't been kicked out of this place yet.
385	FOOD	Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.
386	PAS	No free drink.
387	MISC	What's the difference between the two?
388	FOOD	We went to eat at the Jekyll and Hyde restaurant on Friday night and really enjoyed the fun atmosphere and good food.
389	PAS	Seating is ok even though sometimes there's alot of people.
390	MISC	We'd go back again
391	FOOD	While the new restaurant still features much of the same classical furniture that made Tiffin so attractive, the menu has been overhauled.
392	FOOD	Authentic Pakistani food.
393	FOOD	I had the duck breast special on my last visit and it was incredible.
394	MISC	I've lived in NY for 5 years and this place has it all.
395	FOOD	I liked the beer selection!
396	FOOD	A must for all the Dosa lovers.
397	MISC	Maybe it was just an unintentional mistake but I've experienced the same with other restaurants so I don't appreciate such practice.
398	FOOD	This place has the best Chinese style BBQ ribs in the city.
399	PAS	It is set far from the small street it's on, and there is no traffic noise.
400	FOOD	While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.
401	PAS	We only ordered desserts and drinks, but no refills were offered.
402	MISC	I live on the street this place is on.
403	MISC	Needless to say, I'm never going back and you should be wary too.
404	FOOD	They treated us well and the food was extremely fresh and well-prepared.
405	FOOD	We had the scallops as an appetizer and they were delicious and the sauce was wonderful.
406	FOOD	The menu has lots of options: I hope to go back to try those potato pancakes.
407	FOOD	Thius is a must for anyone who loves Shabu-Shabu.
408	PAS	This place is not worth the prices.
409	PAS	It's like you are transported to the Italian countryside, very romantic and filled with antiques.
410	MISC	If you're not familiar with the cuisine, you may encounter problems ordering here and be sure to bring plenty of cash with you as they don't accept credit cards.
411	FOOD	The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.
412	FOOD	Great pizza and fantastic service.
413	PAS	Also a little more expensive than your average bagel place.
414	FOOD	Best Reuben sandwich ever!
415	PAS	I've rarely had a problem with slow staff in the 10 years I've been going.
416	PAS	Our family never expected such incredible entertainment in a restaurant.
417	FOOD	I love the fact that the pizza tastes so good and is so cheap.
418	FOOD	I couldn't reccommend their Godmother pizza any higher.
419	FOOD	Although we were looking for regular lettuce and some walnuts the salads we got were great.
420	FOOD	The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.
421	MISC	Molto bene!
422	PAS	The place is so cool and the service is prompt and curtious.
423	FOOD	Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!
424	FOOD	The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.
425	MISC	We were a group of 8 and well seved.
426	FOOD	I had the Pad Thai and the noodles were sticky.
427	MISC	Ruby Foo's is a tourist trap.
428	MISC	We bring in a party of ten or so every week.
429	PAS	Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.
430	MISC	you guys rock.
431	PAS	The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.
432	FOOD	The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.
