id	category	descript
101	PAS	The music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as I did, I got a whiff of corriander.
102	PAS	And, atlhough tables opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated.
103	MISC	What a great place!
104	FOOD	If anyones has doubt of not knowing enough about wines,please check their wine list.
105	MISC	My wife and I went to Orsay for Valentine's dinner.
106	FOOD	They do cater to American palates, but if you like it hot let them know and they are more than willing to oblige!
107	MISC	This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.
108	PAS	Diner food at bistro prices is a bummer....
109	FOOD	Edible but really a ripoff at those prices given whats in the area.
110	FOOD	He takes real pride in his food and his business.
111	FOOD	Dahkin also offers prix fixe lunch and buffet.
112	FOOD	The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside.
113	FOOD	I liked the food at this quasi-thai restaurant.
114	MISC	I have been to Casimir over 5 times and I have always had a great time there.
115	MISC	I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
116	MISC	I recommend ordering in on a weeknight.
117	FOOD	Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.
118	MISC	I've eaten at Pizza Gruppo a few times, but more often I order delivery.
119	FOOD	Delicious food at a great price but do not go here on a cold day and sit by the front door.
120	PAS	Kind, attentive wait staff.
121	FOOD	I also recommend the rice dishes or the different varieties of congee (rice porridge).
122	MISC	I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.
123	MISC	They're terrific!!
124	FOOD	It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine.
125	MISC	My boyfriend and I recently had an early dinner at Artisanal and was satisfied with our experience.
126	MISC	Read all the other review, they'll confirm it.
127	FOOD	I've been to several places for Dim Sum and this has got to be the WORST.
128	FOOD	always fresh and delicious.
129	MISC	we spent 50 $$ definetly will come back with my friends!!!
130	MISC	After dealing with subpar pizza all over the Kensington neighborhood - I've found little toninos.
131	FOOD	The rice was poor quality and was cooked so badly it was hard.
132	MISC	This lovely French-Asian fusion restaurant stands out amongst other great restaurants on Smith Street.
133	PAS	While I'm not sure that this happens all the time-this is the kind of treatment that buys repeat business!
134	MISC	In any event, this is a place I'll be sure to stop by again when I'm in this part of town.
135	FOOD	Great Indian food and the service is incredible.
136	FOOD	It's all about the food !!
137	MISC	...and that's saying a lot.
138	MISC	We got a little tipsy from the sake but isn't that what Saturday nights with the girlfriends are all about?
139	MISC	I would not recommend this place to anyone.
140	PAS	Also, the hostess called me today to thank us for coming and mentioned how she hoped that my girlfriend enjoyed her birthday - unexpected, but a truly above and beyond thing to do...
141	MISC	The entire dining experience was wonderful!
142	FOOD	As much as I like the food there, I can't bring myself to go back.
143	PAS	We had a 3 hour brunch- they definitely do not rush you- and they kept the unlimited mimosas flowing the whole time.
144	FOOD	It's not mind-blowing, but to me, thai food never is and never will be.
145	FOOD	The rest of the dim sum, though pricey by Chinatown standards, is worth it.
146	FOOD	So all I'm trying to say is this restaurant is by far the best thai food restaurant I've ever been to.
147	FOOD	good selection of wines ranging from affordable to high end.
148	MISC	My friends spoke so much about it for months, I finally made the time to come down ear and dine in.
149	PAS	THR AT MOSHPHERE IS COMPACT, MODERN, YET COZY.
150	MISC	I have been going there since it opened and I can't get enough.
151	MISC	It's usually packed for good reason, esp.
152	PAS	The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.
153	PAS	Service was very good and warm.
154	PAS	The people in the restaurant were pretty obnoxious and loud.
155	PAS	Anyhow, we were able to sit as long as we wanted and chat, which was nice.
156	FOOD	The plain slice is great and if you get toppings, the whole slice is topped with them, not sparsely sprinkled on like some places.
157	FOOD	Pick a bagel has the best bagels in the city.
158	MISC	Avoid this place!
159	FOOD	I've been to this restaurant more than a dozen times and when I'm craving for Pho, Lemon grass chicken or Beef Cube on rice, this is the place to go.
160	MISC	I've been living in the Columbia University area for about 10 years with 3 kids - now in their teens.
161	FOOD	The flavors robust and subtle.
162	FOOD	I think I've had some the best meals of my life at minnow.
163	MISC	I took my girlfriend there for her birthday last night and we had a relaxing, really good meal.
164	MISC	When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.
165	FOOD	I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.
166	PAS	I've always been seated propmtly.
167	MISC	Get your food to go, find a bench, and kick back with a plate of dumplings.
168	FOOD	Then, get ripped on free box wine.
169	MISC	I was pleasantly suprised.
170	MISC	There was a small group of us looking somewhere to eat kinda late on a weeknight and we ended up at Pastis.
171	PAS	Fast service.
172	FOOD	As always we had a great glass of wine while we waited.
173	FOOD	If you are looking for a good quality, cheap eats - this is the place.
174	MISC	moral stay away.
175	MISC	Try it side by side and there's no comparison.
176	MISC	If you can handle that, it's a great place for a business dinner, fun with friends or simply a table for 2.
177	PAS	Drinks way over priced.
178	PAS	The waiter was attentive.
179	MISC	Very different than regular dimsum places.
180	PAS	LOVE the atmosphere - felt like I was in Paris.
181	MISC	SO SO SO SO SO good!
182	PAS	less wait time for me!
183	PAS	The location is perfect.
184	MISC	Good for dates or with friends.
185	PAS	Just bring someone who speaks Cantonese because waiter may not understand you.
186	FOOD	The corned beef and pastrami are excellent, much less fatty than those big tourist places around Times Square.
187	FOOD	Excellent lunch buffet for only $6.95.
188	FOOD	This is the pinnacle of Indian Fast Food (all fast foods in my opinion).
189	FOOD	Quality ingredients preparation all around, and a very fair price for NYC.
190	PAS	Raga's is a romantic, cozy restaurant.
191	FOOD	Their sushi, Kamikaze and other Rolls are fresh and well presented.
192	FOOD	From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.
193	PAS	They showed up 15 minutes after the tuna melt.
194	FOOD	While certain staples are excellent (the burger, some of the pastas), the food is not really the point.
195	PAS	However, I think this place is a good hang out spot.
196	MISC	I just don't understand all the hype...
197	PAS	The waiters and owners were nonchalant about this and promised to call the exterminator but weren't as dismayed or apologetic as I would have expected.
198	PAS	After all that, they complained to me about the small tip.
199	FOOD	No food snobs allowed, this place is for people who appreciate good food.
200	PAS	First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.
201	FOOD	The bar has various selections and the mixed drink special is a catcher! 2 for 1's.
202	FOOD	It was nice and fresh, but I can't give it high scores on being authentic thai.
203	MISC	I went there with my friend last saturday.
204	MISC	After reading the posts, I was always skeptical to go to The Minnow, despite living in Park Slope.
205	PAS	If you are in a big group, this place is perfect because it recomends sharing - they have lazy susans on most tables - even families can feel comfortable here.
206	PAS	It's a steal!
207	MISC	Still, try it once, since if you end up loving the food, it could be one of your best dining experiences.
208	FOOD	Delicate spices, onions, eggs and a kick-ass roti.
209	MISC	We had reservations at 9pm, but was not seated until 10:15pm.
210	MISC	Went on a double date with friend and his girlfriend for a few drinks and appetizers.
211	MISC	I highly recommend the Sophia pizza.
212	MISC	Every waitress and customer who passed by me bumped into my chair.
213	MISC	If celebrities make you sweat, then your in for a ride, but if your like most around these parts then you'll just yawn and wonder whats with all the hype.
214	MISC	For being number 1, this place has alot of work to do in order to truly earn its so called reputation.
215	PAS	IT is the best deal in town for a Monday night dinner at a fine restaurant.
216	PAS	Somewhat pricey but what the heck.
217	PAS	His wife Tanya, the hostess, completes the comforting atmosphere by being delightfully warm and gracious.
218	FOOD	Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.
219	MISC	This is my favorite Italian restaurant in all of New York City.
220	FOOD	This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.
221	MISC	This place has got to be the best japanese restaurant in the new york area.
222	FOOD	You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.
223	FOOD	In addition, the food is very good and the prices are reasonable.
224	FOOD	Try the lasagnette appetizer.
225	PAS	We had a party in their private room and they made it truly memorable and were very helpful in the planning.
226	FOOD	The staff was very attentive, the ambience lovely, and the food superb.
227	MISC	I went to Del Frisco's Friday night with my boyfriend for an 8:00 reservation.
228	MISC	first it took us a long time to find the place.
229	MISC	This place is so much fun.
230	PAS	I have tried to make reservations, but both times, the hostess didn't have my name.
231	PAS	The design and atmosphere is just as good.
232	MISC	I've eaten thai many times, and am very familiar with the cuisine.
233	FOOD	Best Pastrami I ever had and great portion without being ridiculous.
234	PAS	A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.
235	PAS	When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.
236	PAS	Got a little loud after 8pm when the joint got full.
237	FOOD	Not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner.
238	MISC	I've been to this monster sushi twice, the 46th st once, the 23rd st one a number of times.
239	FOOD	But they've done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual).
240	MISC	I was in love with Pongsri on 48th, but compared to Suan it is slow in service and overpriced.
241	MISC	I don't live in NY but my best friend does.
242	PAS	The place's decor and hidden bathrooms made for a good laugh.
243	FOOD	They couldn't even make a salad that was appealing.
244	FOOD	Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.
245	FOOD	Decent wine at reasonable prices.
246	FOOD	Try their plain pizza with fresh garlic or eggplant.
247	FOOD	Dakshin is one of the few affordable and tasty Indian restaurant in the upper east side.
248	MISC	Visited there while on vacation and reading the reviews.
249	FOOD	Get the tuna of gari.
250	MISC	Don't eat here unless you're starving for thai food and you work next door.
251	FOOD	And its absolutely DELICIOUS.
252	PAS	I cannot imagine a friendlier staff working in a restaurant.
253	FOOD	I'm not picky - but it was actually gross.
254	FOOD	Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.
255	PAS	I was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.
256	FOOD	They are tasty, but I suggest only eating one with meat because they tend not to mesh that well with the average American digestive system.
257	MISC	We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.
258	FOOD	Too bad the food wasn't of the same heritage.
259	MISC	Have been dozens of times and never failed to enjoy the experience.
260	PAS	My co-workers had to wait almost an hour for delivery, only to discover that what they got was not what they ordered.
261	FOOD	Deep Fried Skewers are good and still rare to find in NYC.
262	FOOD	We were very surprised by how good the food was on our first visit here on a Sunday night.
263	FOOD	By far the best salad I have had in a fast food restaurant.
264	FOOD	fine dining restaurant quality.
265	PAS	Overall, worht every penny.
266	FOOD	This place has realy fresh sushi and a nice large menu of Japanese classic cuisine.
267	PAS	In fact, it appears he is going to go postal at any moment.
268	MISC	We thought this a prelude to what the evening will be like.
269	MISC	from an English speaking staff.
270	FOOD	it's a perfect place to have a amanzing indian food.
271	MISC	my first time here was with my gf for our 12 month anniversary.
272	MISC	This was on a Tuesday night.
273	PAS	We went around 9:30 on a Friday and it had died down a bit by then so the service was great!
274	MISC	We were on our way back to NJ, and since I am in NY, we figured why not grab some food?
275	PAS	I had been searching really hard for a restaurant in New York where I could really feel unwanted and ignored and I finally found it!
276	FOOD	Stick to the gulab jamun.
277	MISC	This place started off a little iffy, but is now one of my favorite indian restaurants in NYC (and I'm indian, so I should know).
278	MISC	We will definitely go back.
279	FOOD	It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.
280	MISC	SEA has become so popular that they've let it go to their heads.
281	FOOD	bottles of wine are cheap and good.
282	MISC	I was very disappointed with this restaurant.
283	FOOD	We always have a delicious meal and always leave feeling satisfied.
284	FOOD	The first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet.
285	PAS	There is not a single place in Chinatown where you have a nice neighborhood feeling like here.
286	PAS	The service was the only thing good about this restaurant.
287	MISC	We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.
288	MISC	Once for dinner and once for brunch.
289	PAS	Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!
290	PAS	Drawbacks: service is slow and they don't toast!
291	PAS	Ambience is delightful, service impeccable.
292	MISC	I'm just reading some of these reviews and its nonsense that people are reviewing some places because it was too loud.
293	MISC	Not a great place for family or general dining.
294	MISC	i have eaten here a handful of times, for no reason besides sheer convenience.
295	MISC	One of my favorite restaurants in the neighborhood.
296	FOOD	The lava cake dessert was incredible and I recommend it.
297	MISC	I've been eating at Taj Mahal for over twenty years and have found them to be the most excellent of the Indian eateries on this block of Indian restaurants.
298	MISC	This isn't your corner Chinese food takeout.
299	FOOD	All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!
300	FOOD	The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.
301	MISC	Katz's deli is a great NY experience.
302	MISC	When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests.
303	MISC	This is the Cheers of New York, whether you've ever been there or not.
304	MISC	I can't believe people complain about no cheese sticks?
305	MISC	A little pricey but it really hits the spot on a Sunday morning!
306	MISC	What a great place.
307	FOOD	With the great variety on the menu , I eat here often and never get bored .
308	PAS	Service is extraordinary, yet not overbearing, and the decor brings a taste of trendy SoHo into Queens.
309	FOOD	With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.
310	MISC	I have been to Mary's many times and I like it.
311	PAS	If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.
312	FOOD	Terrific menu full of unique rolls and special dishes.
313	FOOD	The bread is the soft paratha bread (unlike the plain bread they use in Calcutta), and the stuffing is tandoori styled and very flavorful.
314	FOOD	just got back from lunch at Tamarind and it was excellent.
315	PAS	But the best part about LS is the late night atmosphere, delightfully free of the BTs.
316	MISC	This is a cute place and could be good but they need to get their act together.
317	FOOD	At the end you're left with a mild broth with noodles that you can slurp out of a cup.
318	MISC	We will come back!!!
319	MISC	Finally!
320	MISC	You will not be disapointed at all.
321	FOOD	The food was pretty good, but a little flavorless and the portions very small, including dessert.
322	MISC	Three of us arrived for dinner about 5:30 on a week night without reservations.
323	PAS	The man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around).
324	FOOD	Not the greatest sushi place, but excellent for a $19.95 all you can eat.
325	FOOD	Wine list selection is good and wine-by-the-glass was generously filled to the top.
326	PAS	Big Wong gets big Ups for a fine establishment.
327	FOOD	Plus, on Wednesday nights the house wine is unlimited!
328	PAS	I had to ask her three times before she finally came back with the dish Ive requested.
329	FOOD	The food is definitely good, but I left a bit disappointed.
330	PAS	The red sliding doors may be unique but they do not block off the cold air from the outside.
331	FOOD	Its an excellent place to relax and the food is one of the best in the city of New York.
332	MISC	This is a true gem of the village.
333	MISC	If that's a problem, go to McDonald's and destroy your insides.
334	MISC	We ran a little late for the reservation but it wasn't a problem to get our table immediately.
335	FOOD	The food was just awful, ATROCIOUS actually.
336	MISC	Look foward to trying the Ruben upon returning.
337	FOOD	The tuna and wasabe potatoes are excellent.
338	FOOD	The food was just OK, I would never go back.
339	MISC	If you are in the area try The Bagel Shoppe on 74th street which is 3 blocks away on 2nd Ave.
340	FOOD	Yeah Shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out.
341	MISC	Been there, done that, and New York, it's not that big a deal.
342	FOOD	They had scrapped the bottom of the vessel in which they make the rice -RESULT - WE HAD LARGE CHUNKS OF BURNT RICE IN OUR SERVING BOWL.
343	FOOD	The lox is always fresh too.
344	FOOD	The location and ambience is Ok but the food is what makes up for it.
345	FOOD	Great selection of wine, and seafood.
346	MISC	Another plus is most of the entrees are approx.
347	PAS	We laughed when he finally offered us a dessert menu and we left a 10 percent tip, which was generous, I feel.
348	PAS	The service is fine and they allow you to enjoy the view.
349	FOOD	They used shredded cheese on top!
350	MISC	This has got to be one of the most overrated restaurants in Brooklyn.
351	MISC	I have NEVER been disappointed in the Red Eye.
352	MISC	We usually go to the Chart House to celebrate a birthday or anniversary.
353	FOOD	I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.
354	FOOD	Pastrami or corned beef are juicy and piled high (ask for extra rye bread).
355	FOOD	This is some really good, inexpensive sushi.
356	MISC	As there were so many to choose from we wandered up and down the street looking in the windows and such noticicing many empty seats ,except at Taj Mahal.
357	MISC	I have lived in NY for many years and have dined at many restaraunts.
358	MISC	That's good and bad.
359	MISC	IT IS WHAT MODERN CUISINE IS ALL ABOUT.
360	MISC	Hey, I think $2+ for a 5 block walk ain't bad.
361	PAS	And all of that won't break your bank!
362	FOOD	For appetizers, I recommend the shrimp fritters and dumplings.
363	PAS	Yes, there might be a wait if you have no reservations.
364	PAS	The people that work there are always so friendly you forget you are in New York sometimes.
365	MISC	Made my dining experience uncomfortable.
366	PAS	After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.
367	FOOD	I had Lobster Bisque it has 2 oz. of Maine Lobster in it.
368	MISC	Just ignore the trendy wannabes.
369	FOOD	But, they were too big for the bun.
370	FOOD	The Singapore Mai Fun had NO curry flavor whatsoever.
371	MISC	I loved this place!!
372	MISC	Nice Family owned traditional restaurant.
373	PAS	You are treated just like royality.
374	PAS	The staff was knowledgeable and full of personality.
375	FOOD	Not only was the food outstanding, but the little 'perks' were great.
376	FOOD	The food is mostly made from scratch, fresh and well prepared.
377	MISC	At first i was rolling my ideas of yet another French place on the UES.
378	PAS	The only positive was the wait staff, which was prompt, knowledgable, and likeable.
379	FOOD	My wife had the fried shrimp which are huge and loved it.
380	FOOD	The quantity is also very good, you will come out satisfied.
381	PAS	Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.
382	FOOD	On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.
383	MISC	I will never visit this restaurant again.
384	FOOD	The food is great, service is ok.
385	FOOD	Very popular style Izakaya (Sake and small portion of sake-friendly dishes ).
386	FOOD	The waitress was very patient with us and the food is phenomenal!
387	PAS	Total hipster-wannabe attitude in an otherwise sweet spot.
388	FOOD	Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.
389	MISC	I've had to wait only a few times during lunch but this place is definitely worth the wait.
390	FOOD	The Dim Sum was so-so, but not spectacular.
391	PAS	After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.
392	MISC	They don't concern much of customer's health, just want to make money.
393	MISC	If you are in search of the most authentic NYC deli experience look no further than the famous and historic Katz's Deli down on the Lower East Side.
394	FOOD	good music, great food, speedy service affordable prices.
395	PAS	Service has always been friendly and efficient.
396	MISC	after dining at B.O.G over twenty times now, its official !
397	FOOD	Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).
398	FOOD	Butter was melted, white wine warm, cheese oozing everywhere.
399	MISC	In China the phrase for a good restaurant is hot and loud.
400	FOOD	It's very spicy but not offensive.
401	FOOD	I have been about 4 times and have always had a great meal.
402	MISC	Went there last night for 2 year anniversery, and wasn't all that impressed.
403	PAS	i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.
404	FOOD	The view is spectacular, and the food is great.
405	PAS	Nice value.
406	FOOD	Food is average, and I would say even the chain restaurant Baluchi's tastes better.
407	FOOD	The buffet had a nice selection.
408	PAS	Service is top notch.
409	MISC	they were able to squeeze me in at 6 after i called the night before my anniversary for a friday night reservation and told me they'd treat us well for the occasion.
410	PAS	The entire place and the treatment we received felt as a conveyor belt.
411	PAS	service was efficient courteous.
412	FOOD	kalbi and nebbiolo do work together.
413	FOOD	Its not curry in a slurry crap, and regular run of the mill food.
414	PAS	It was tiny and I felt like I was eating in someone's living room.
415	MISC	But I'd go back
416	MISC	Brava La Pizza Fresca!
417	FOOD	Try the Pad Se-Ew or Chicken with Cashew Nuts for a memorable and repeatable experience.
418	MISC	On a recent Saturday night, I was with a group of 5 at the Bread Bar.
419	MISC	I have to agree with the previous reviewer.
420	MISC	Everything a NY pizza joint should be.
421	FOOD	You can even get packages of the chutneys to stock your fridge!
422	MISC	I recently went to this restaurant with some co-workers for lunch and had an amazing time.
423	MISC	A pleasant surprise.
424	FOOD	The desserts are more appealing then stuffy overpriced French restaurants.
425	FOOD	this is the best secret place in midtown', I heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms) and drinks on the bar last Tuesday.
426	MISC	I'm going back.
427	FOOD	We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.
428	MISC	I really didn't know what to expect for a restaurant that literally overlooks the main hall of Grand Central.
429	FOOD	I would say that all was fine and tasty but the heaviness on my stomach someting that i can't not mention or undermine.
430	MISC	There are many Thai places in the city but so far Toons is #1.
431	FOOD	Outstanding Bagels, but you get what you pay for.
432	FOOD	We also ordered two hot dogs thinking they would be pretty good since there is a whole section on the menu devoted to them.
433	MISC	Coming from Boston this place is like Emma's Pizza in Kendall Square in Cambridge (although they have more funky toppings!)
434	MISC	I stumbled upon this great pizzeria as I explored my new neighborhood.
435	FOOD	They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.
436	MISC	Your friends will thank you for introducing them to this gem!
437	MISC	This place is worth an one-hour drive.
438	MISC	I read the other review and have to say I had the opposite experience here last Sunday.
439	PAS	The waiter actually poured water on my hand and walked away.
440	FOOD	Great bagels made the old-fashioned way.
441	MISC	I often go there to eat with my family.
442	FOOD	We thought that this place is using too much of MSG cooking in the foods.
443	FOOD	Oh, and the complimentary pudding dessert was just enough- yummy!
